Value,Count,RED,GREEN,BLUE,CL,NVC_CLASS,SC,NVC_SUBCL,FRM,NVC_FORM,DIV,NVC_DIV,MACRO_CD,NVC_MACRO,GR,NVC_GROUP,LEVEL3,ECOLSYS_LU,NVCMES
0,5973621751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,382166,0,0.51765,0.4902,1,Forest & Woodland,1.A,Tropical Forest & Woodland,1.A.4,Tropical Flooded & Swamp Forest,1.A.4.Ed,Caribbean-Central American Flooded & Swamp Forest,M617,Caribbean Swamp,G002,Caribbean Lowland Swamp,9238,South Florida Bayhead Swamp,1.A.4.Ed M617G002E1
2,976706,0,0.51765,0.4902,1,Forest & Woodland,1.A,Tropical Forest & Woodland,1.A.4,Tropical Flooded & Swamp Forest,1.A.4.Ed,Caribbean-Central American Flooded & Swamp Forest,M617,Caribbean Swamp,G002,Caribbean Lowland Swamp,9702,South Florida Cypress Dome,1.A.4.Ed M617G002E2
3,726902,0,0.51765,0.4902,1,Forest & Woodland,1.A,Tropical Forest & Woodland,1.A.4,Tropical Flooded & Swamp Forest,1.A.4.Ed,Caribbean-Central American Flooded & Swamp Forest,M617,Caribbean Swamp,G002,Caribbean Lowland Swamp,9305,South Florida Dwarf Cypress Savanna,1.A.4.Ed M617G002E3
4,2875688,0.11765,0.87843,0.62353,1,Forest & Woodland,1.A,Tropical Forest & Woodland,1.A.5,Mangrove,1.A.5.Ua,Atlantic-Caribbean & East Pacific Mangrove,M005,Western Atlantic & Caribbean Mangrove,G004,Caribbean Fringe Mangrove,9236,South Florida Mangrove Swamp,1.A.5.UaM005G004E4
5,8327,0.16863,0.82745,0.20784,1,Forest & Woodland,1.A,Tropical Forest & Woodland,1.A.1,Tropical Dry Forest & Woodland,1.A.1.Ea,Caribbean-Mesoamerican Dry Forest,M134,Caribbean Coastal Lowland Dry Forest,G765,Caribbean Hardwood Hammock & Coastal Strand Forest,4132,South Florida Hardwood Hammock,1.A.1.EaM134G765E5
6,24219,0.16863,0.82745,0.20784,1,Forest & Woodland,1.A,Tropical Forest & Woodland,1.A.1,Tropical Dry Forest & Woodland,1.A.1.Ea,Caribbean-Mesoamerican Dry Forest,M134,Caribbean Coastal Lowland Dry Forest,G765,Caribbean Hardwood Hammock & Coastal Strand Forest,4135,Southeast Florida Coastal Strand and Maritime Hammock,1.A.1.EaM134G765E6
7,1807,0.16863,0.82745,0.20784,1,Forest & Woodland,1.A,Tropical Forest & Woodland,1.A.1,Tropical Dry Forest & Woodland,1.A.1.Ea,Caribbean-Mesoamerican Dry Forest,M134,Caribbean Coastal Lowland Dry Forest,G765,Caribbean Hardwood Hammock & Coastal Strand Forest,4134,Southwest Florida Coastal Strand and Maritime Hammock,1.A.1.EaM134G765E7
8,217095,0.70196,0.98039,0.6902,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.1,Warm Temperate Forest & Woodland,1.B.1.Na,Southeastern North American Warm Temperate Forest & Woodland,M007,Longleaf Pine Woodland,G005,South Florida Slash Pine Woodland,4145,South Florida Pine Rockland,1.B.1.NaM007G005E8
9,1727150,0.16078,0.57255,0.17647,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.1,Warm Temperate Forest & Woodland,1.B.1.Na,Southeastern North American Warm Temperate Forest & Woodland,M007,Longleaf Pine Woodland,G009,Dry-Mesic Loamy Longleaf Pine Woodland,4505,Atlantic Coastal Plain Fall-line Sandhills Longleaf Pine Woodland - Open Understory,1.B.1.NaM007G009E9
10,1273976,0.16078,0.57255,0.17647,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.1,Warm Temperate Forest & Woodland,1.B.1.Na,Southeastern North American Warm Temperate Forest & Woodland,M007,Longleaf Pine Woodland,G009,Dry-Mesic Loamy Longleaf Pine Woodland,4506,Atlantic Coastal Plain Fall-line Sandhills Longleaf Pine Woodland - Scrub/Shrub Understory,1.B.1.NaM007G009E10
11,13093680,0.16078,0.57255,0.17647,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.1,Warm Temperate Forest & Woodland,1.B.1.Na,Southeastern North American Warm Temperate Forest & Woodland,M007,Longleaf Pine Woodland,G009,Dry-Mesic Loamy Longleaf Pine Woodland,4536,Atlantic Coastal Plain Upland Longleaf Pine Woodland,1.B.1.NaM007G009E11
12,177303,0.16078,0.57255,0.17647,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.1,Warm Temperate Forest & Woodland,1.B.1.Na,Southeastern North American Warm Temperate Forest & Woodland,M007,Longleaf Pine Woodland,G154,Xeric Longleaf Pine Woodland,5602,Atlantic Coastal Plain Xeric River Dune,1.B.1.NaM007G154E12
13,6798832,0.16078,0.57255,0.17647,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.1,Warm Temperate Forest & Woodland,1.B.1.Na,Southeastern North American Warm Temperate Forest & Woodland,M007,Longleaf Pine Woodland,G009,Dry-Mesic Loamy Longleaf Pine Woodland,4508,East Gulf Coastal Plain Interior Upland Longleaf Pine Woodland - Open Understory Modifier,1.B.1.NaM007G009E13
14,3827151,0.16078,0.57255,0.17647,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.1,Warm Temperate Forest & Woodland,1.B.1.Na,Southeastern North American Warm Temperate Forest & Woodland,M007,Longleaf Pine Woodland,G009,Dry-Mesic Loamy Longleaf Pine Woodland,4509,East Gulf Coastal Plain Interior Upland Longleaf Pine Woodland - Scrub/Shrub Modifier,1.B.1.NaM007G009E14
15,774014,0.16078,0.57255,0.17647,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.1,Warm Temperate Forest & Woodland,1.B.1.Na,Southeastern North American Warm Temperate Forest & Woodland,M007,Longleaf Pine Woodland,G154,Xeric Longleaf Pine Woodland,4503,Florida Longleaf Pine Sandhill - Scrub/Shrub Understory Modifier,1.B.1.NaM007G154E15
16,3125213,0.16078,0.57255,0.17647,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.1,Warm Temperate Forest & Woodland,1.B.1.Na,Southeastern North American Warm Temperate Forest & Woodland,M007,Longleaf Pine Woodland,G154,Xeric Longleaf Pine Woodland,4502,Florida Longleaf Pine Sandhill- Open Understory Modifier,1.B.1.NaM007G154E16
17,2987748,0.16078,0.57255,0.17647,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.1,Warm Temperate Forest & Woodland,1.B.1.Na,Southeastern North American Warm Temperate Forest & Woodland,M007,Longleaf Pine Woodland,G154,Xeric Longleaf Pine Woodland,4321,West Gulf Coastal Plain Upland Longleaf Pine Forest and Woodland,1.B.1.NaM007G154E17
